operator_funder,funded_wallet,note
57vSaRTqN9iXaemgh4AoDsZ63mcaoshfMK8NP3Z5QNbs,14dbXcCEJKq4hc8hLRQVDQ7C6zQN95cSpCYwUrCmy3B9,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,Gs5nPgmqYBpKvtermbsLfKbhyRv7k64Gz9iSZQizU8ux,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,4qi8DJKqrBZAyMATAdnupQSWi2FaXCWQHMFgdZi8nXt3,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,DshPqYhX7JJhWaSUY5R4mWw5JRZU6Lb2qZczFdTLGztM,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,2WeuE1k1wnpPB22R8aouEZyXU9TzxzyzmP7G4R2qWsfj,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2qo8jvuc49pFmTjmUHLiARSV6ppPTaE7gw27ZJ6DnNZy,324XeSYFZkW4H98129FQjbW4q6Y8vKko4LqjxVV1PbQN,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2qo8jvuc49pFmTjmUHLiARSV6ppPTaE7gw27ZJ6DnNZy,7dVxb2b7zGepDHadduvDcmhetiLGe8ZSq3ysqAeZSAM2,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2qo8jvuc49pFmTjmUHLiARSV6ppPTaE7gw27ZJ6DnNZy,FUKJGsWMTDpQgxPmUUk9tgeqEDxdyuJs47kVaHhK8fy4,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2qo8jvuc49pFmTjmUHLiARSV6ppPTaE7gw27ZJ6DnNZy,6ufFPXC5d5uRwrk6fLPzrbypqhvSrf6ffrfiqbpdDCBy,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
G2YxRa6wt1qePMwfJzdXZG62ej4qaTC7YURzuh2Lwd3t,A5KkoSS3vLx6txhKzMaoHt22ja2koao8RG9Uq1g3fR6U,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
G2YxRa6wt1qePMwfJzdXZG62ej4qaTC7YURzuh2Lwd3t,HWkceJ54JThTHo3ETg62fLVHwcAiS5wZ3zuuCYwyt1iA,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
G2YxRa6wt1qePMwfJzdXZG62ej4qaTC7YURzuh2Lwd3t,8pkNSnkmGRk5xHnkes26yhQbm6fSqxqNQQYZdXUN9RNK,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
G2YxRa6wt1qePMwfJzdXZG62ej4qaTC7YURzuh2Lwd3t,BmbsZAkTZymAaT5D15YdTZ6REVEKwXBKGN8883GK1rBC,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
Cc3bpPzUvgAzdW9Nv7dUQ8cpap8Xa7ujJgLdpqGrTCu6,FJb1xgHT6PqPGB2KffHUzzLdrcFy8Gm7SodQFpUVGb75,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
Cc3bpPzUvgAzdW9Nv7dUQ8cpap8Xa7ujJgLdpqGrTCu6,9Hscv4K2DFenq3ERPYCZoqpP8reb6ZJ4iyqqGYjCEKws,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
Cc3bpPzUvgAzdW9Nv7dUQ8cpap8Xa7ujJgLdpqGrTCu6,3KmNEa4NvjNxs9MRAnThunECpzhm6zKMAN65NHQs6PtW,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
FD9cMrd7K7xHHBFkjQutueJht8AyU3QoF5ZCU4F8xJKt,G7wTQ3Kp2nUTJVM5rhtmpLs4d3AxUBWyJSH4AX97YtVn,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
FD9cMrd7K7xHHBFkjQutueJht8AyU3QoF5ZCU4F8xJKt,3hR3rLV7eYXrWVeEUhdUknVfm9DSF3uVgrMVfkmPWfR6,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
FD9cMrd7K7xHHBFkjQutueJht8AyU3QoF5ZCU4F8xJKt,3nuDkimBoHcSKYf5qhRQ1L1GsvZ5FzT2BZtxxZT7cnMt,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
